Type_of_crack,Crack_length,a,b,t_b,Type_of_BCs,kx,ky
0,0.565480305300804,1.08516954663395,1,0.0536630388367255,0,5.53925139051951,2.32167425936066
0,0.482013579563802,1.98436484421135,1,0.00759282995193061,0,15.836139441809,0.343046244146255
0,0.358372362398222,1.73668201128832,1,0.0251202149838287,0,12.0681983158243,0.0665090310013969
0,0.525172136484685,1.93499272250945,1,0.0238702280867565,0,22.7409100966012,26.3429235255754
0,0.446777749894146,1.85595066153731,1,0.0975010063908731,1,48.9305968319186,49.6972404177499
0,0.568615240447426,1.4181303926298,1,0.00367200965208249,0,8.16698484790287,48.4711029425891
0,0.343366529789149,1.62737448854286,1,0.0153127418029401,0,45.7741832763837,40.2008331472092
0,0.447933139619812,1.79452991595246,1,0.00715050914874116,1,47.4438673869238,45.4721780705737
1,0.286841946892692,1.1971115936052,1,0.00128064329958754,0,44.9775057433965,5.59004525628062
0,0.331845219763577,1.61660162309996,1,0.022849078659158,1,28.1404135735571,35.9429467265432
0,0.658100216593476,1.55902983806455,1,0.0115792925449445,0,9.594980135272,21.7315179975359
0,0.317604234773181,1.24030537513567,1,0.0276990505286913,1,23.129075956994,12.6002144929685
1,0.520123957815051,1.99169070838868,1,0.0091448853795553,1,27.7741142210228,41.4076496505076
1,0.521066465819977,1.95461741555973,1,0.0497716231128579,0,40.0797270516329,49.4306176590104
1,0.362655856251922,1.52298762526147,1,0.0368945528760507,0,47.7200244447362,9.3084206301061
0,0.834245549961391,1.21825192410739,1,0.0977429359216865,0,21.5826166456968,10.9120046969438
1,0.627175831364959,1.75152806739955,1,0.0732599815314287,1,22.9052805313425,24.0937112082102
1,0.171710354244116,1.74425704379267,1,0.00956036860020508,1,17.6977566754745,42.7615274749435
1,0.189490292502257,1.17901850064904,1,0.0172595539498677,0,32.8552661102664,10.8940924659606
1,0.238815537022805,1.82846507818951,1,0.0336258475223357,1,39.6436590690034,20.9864916446628
1,0.584000905951633,1.85900786220534,1,0.00574946398287516,0,45.7558229682069,11.4272876076493
0,0.395428120662895,1.57650242192013,1,0.0123332252957212,0,4.29210114939992,34.9186589327849
0,0.864485519094769,1.93391377809703,1,0.0675808650538465,1,0.953090579968056,4.58151786084835
1,0.505687127309249,1.33103483885706,1,0.0272855593838484,1,33.5682842576828,22.2869439832827
0,0.713479554289954,1.21214849116405,1,0.00795710715626215,0,8.98235994380699,35.8101296570862
0,0.269454113476528,1.78873685001467,1,0.0706740087252075,1,12.9146197462634,29.0061589448172
1,0.750415959635415,1.79378398509721,1,0.00423716958559765,1,23.3856003171397,21.6160542463703
1,0.172945980985926,1.79978367921646,1,0.0903389943699177,1,29.3204123505153,36.5991020604349
1,0.251753184379221,1.79049775414873,1,0.0673181607624425,1,38.928882246004,23.2231998445974
1,0.611479360849591,1.59816725656396,1,0.0186799388174802,0,30.645343330603,13.9555975777695
0,0.229558795375586,1.25532956381831,1,0.0810068937762252,1,10.2763662044967,23.1938280567342
0,0.197423624206454,1.9004613923254,1,0.00840929154871095,1,24.5210078829667,2.00600809962406
1,0.549348161132692,1.48620502132306,1,0.0738783060985419,1,16.6141801908342,26.2260357921728
1,0.872874541037552,1.45227293549155,1,0.0501213105114158,1,8.04061038497606,16.6536494656416
1,0.243683357681347,1.8861677374963,1,0.0187796679381101,1,10.3794739067175,21.9288600835211
1,0.574543664187772,1.22404301776728,1,0.0817659412686408,0,2.61773316929589,12.2614057704249
0,0.662028215065258,1.20185635734118,1,0.027754705643426,1,6.89217706880738,29.1078169240086
0,0.476649259314807,1.6264093361301,1,0.0466191905889991,1,7.48988440904068,12.5732401041304
1,0.887987307375544,1.39052643312412,1,0.0601455150189186,0,42.1205560956249,7.08507215507858
0,0.635936037781311,1.21347497428517,1,0.0572342785362363,0,15.4123447165162,30.4027075616458
1,0.446346369715999,1.67594490144992,1,0.0423702287842423,1,41.1562484387532,33.2228947752851
1,0.498801101752794,1.70639424027645,1,0.0957540589094283,1,32.9653174233653,17.8622814930482
0,0.376877346375627,1.16242555129183,1,0.0687717153351891,0,14.2014078703432,10.2508779013642
0,0.859462671580545,1.79644908442421,1,0.0612900777075063,0,24.6234751263881,23.6560305228533
1,0.297785266970784,1.22979792268979,1,0.0841640090399531,0,2.07473339144422,35.5454588571139
1,0.698008762321341,1.18224609299551,1,0.03264945500318,0,41.5408214212389,8.01978140736362
1,0.273448614033968,1.92047905481462,1,0.0561790302212349,0,12.1744650752479,36.2199039387434
0,0.40125928334398,1.95424812561266,1,0.0787031188643206,0,10.4713578769014,49.1810186961591
1,0.600400791216162,1.55221759331787,1,0.0628567412441919,1,30.3657964826888,18.6749420308794
1,0.696341455852803,1.17726961871006,1,0.0525740620634855,1,28.5532718428358,35.8655889233556
0,0.403923681621109,1.35426770782537,1,0.0129812940997434,1,18.4568849796298,22.7612880817054
0,0.17823012887823,1.1837872011521,1,0.0085432352358789,0,44.3643670754084,4.39883922808059
0,0.511902050283436,1.04743331124677,1,0.0976584614703099,0,0.658669480558289,42.7253097815654
0,0.637049372662772,1.37337154421276,1,0.0592796074993593,1,8.24906178948309,41.4558145626174
1,0.812369621089481,1.55010718850715,1,0.0550421274627764,1,42.2916556419619,24.4294989865508
1,0.235501408188066,1.41627803086705,1,0.0192148293500395,0,30.9564907505426,48.2246310744853
0,0.819632629099124,1.47420366230944,1,0.00984110398179753,0,32.1114874157266,2.36723600558881
1,0.169778383660607,1.60371328793474,1,0.00699991862372973,1,13.0086221511076,12.6951640204389
1,0.24266815273389,1.97153380067179,1,0.0655715856874177,0,32.8020949323162,7.2795537710124
0,0.603008659704983,1.18154036626304,1,0.0351820206632955,0,39.4508680447326,30.3794854227164
1,0.409883977440914,1.14300995258923,1,0.0470853749912851,0,16.7794194560102,21.6469923261374
0,0.133808702405203,1.67517613744799,1,0.0714328797051583,0,37.8484846334573,26.873762515023
0,0.684705422688178,1.44988779078989,1,0.0954114155177189,1,6.57686857352148,45.1096963946185
1,0.378923499310369,1.24571006835915,1,0.0968556542061745,0,6.58439755896435,12.9322562068535
1,0.252947685968774,1.83081397158102,1,0.0233335998309729,0,25.4773066320967,16.22923431204
0,0.644526911943071,1.89432675803088,1,0.0776993531874635,0,7.37637349404878,38.0149430105378
1,0.779687502467475,1.80251342935728,1,0.0662449942415407,0,24.634759268417,16.8891996860778
1,0.265050471384876,1.16526921695856,1,0.0702234906340304,1,31.8251112077358,25.1337025457743
0,0.78571094191792,1.41014317425871,1,0.0184644918158434,1,47.4536175074881,47.6498277017483
1,0.866814866278288,1.15534053491779,1,0.0090291085808249,0,3.65186958334949,48.1391888268012
0,0.691153329067543,1.72175771808756,1,0.0698359473440395,0,24.4665082654923,32.6897990652551
1,0.259382407107619,1.96520696168488,1,0.0388185664320478,0,20.6828237381847,37.2197117370702
1,0.535916878229699,1.403099167705,1,0.0405478039262846,1,14.8246220943364,24.4790970439521
0,0.312051664821783,1.85740221677327,1,0.0448582085356002,1,18.7305222069977,47.5433017282345
0,0.123423856454639,1.66341907139305,1,0.0489795117093472,1,14.7563192495649,36.8914818199178
0,0.861713473441825,1.44801781136202,1,0.0284170195517348,0,20.9890015420388,29.1452361790349
1,0.470602598472427,1.74707440627672,1,0.0572785244268484,0,2.41163441840832,10.9983587293985
1,0.687006860363153,1.14858508820706,1,0.0152799468272805,1,43.4194591078634,33.0446753167869
0,0.688026082297557,1.5589572290248,1,0.0666102945990337,1,18.8421822370047,19.5824942922605
1,0.81775228196019,1.61098307288365,1,0.0404993478269966,1,14.3911951851891,18.9521606019773
0,0.711125403514444,1.58350851223539,1,0.0635029850888732,1,3.80462896196848,48.7413694387932
0,0.731082730983757,1.87360864573192,1,0.0853805822193664,1,38.5032730824235,0.565154951310295
1,0.761794404398168,1.93462453346902,1,0.0931342821686451,1,37.9014368981127,32.0767842404044
0,0.853232994137169,1.97744384929783,1,0.0945472300324442,1,39.7326607707745,27.0516884326805
0,0.842806408145008,1.91872484455026,1,0.0940163778829537,0,38.9988867116702,48.6949155477289
1,0.270491219526754,1.7025274851692,1,0.0225275755877397,1,12.8581961591381,31.1863004760695
0,0.890637998689107,1.46707920955591,1,0.0506570595928371,1,18.279206803292,43.0956371032665
0,0.661055987440642,1.39465395006276,1,0.0808383529807442,1,44.6018779163107,3.64785136999488
1,0.371373776387894,1.15200436266415,1,0.043307223703447,1,0.616710490978273,21.9699420329449
0,0.686308295714458,1.8275020197514,1,0.0597610336873171,0,40.3413621932388,1.96601374730271
0,0.630405484980637,1.425498545373,1,0.0302106612702927,1,9.97930067716606,48.9088647144748
1,0.224030252514724,1.21888201944919,1,0.0535360129060653,0,21.655826469667,13.798441240294
0,0.678178124460049,1.2655670430833,1,0.0121943417973291,0,10.9425395764993,15.6642160351026
0,0.57744737589288,1.10916262764391,1,0.0511838824752565,1,35.0726946129082,47.9632510333954
0,0.400207558330723,1.52107958372638,1,0.0606761543611098,0,20.4393464004492,28.8184688588406
1,0.834862644809696,1.86985124545492,1,0.0774741685104382,0,21.4967827905713,46.223662801521
1,0.608723161574692,1.28208770577133,1,0.0199747813559944,0,29.4950483743275,4.67432776931701
1,0.462200104942215,1.02913029055788,1,0.0668994430575224,0,21.4030641569795,22.65905647305
0,0.857966365715373,1.06229054977539,1,0.0190443715555015,0,35.6221433910023,23.8321807030147
0,0.700672268385882,1.27545181747607,1,0.0861009635565635,0,25.8642978177465,8.34864560624846
1,0.771300850942289,1.973344814699,1,0.096079428557943,1,9.68325865045772,0.251544701305658
0,0.391973257712054,1.7666240179265,1,0.0910326095659565,1,46.7493540736325,31.2856974343711
0,0.372932983545101,1.46784106147752,1,0.0132781919133991,1,18.3275306033905,35.2110555493844
1,0.677385852796025,1.45459941531151,1,0.0776147623516282,1,32.646280843564,5.9631363353126
1,0.158810207113219,1.97502923501178,1,0.0818806526897993,1,49.7986935420811,47.0802854989298
0,0.837797670206222,1.79576675705269,1,0.0800253252123518,0,12.5429367465389,7.00390203411778
1,0.448744751339573,1.90024323295828,1,0.0280213200308994,1,37.380556811943,11.5297216510152
0,0.492651084629133,1.63850976931169,1,0.0156785446295275,0,21.9193359750204,24.8652668840374
0,0.131312882774227,1.82260013905238,1,0.0604251915537188,0,4.54427558852759,21.8752297514932
1,0.279321969620025,1.08664611724597,1,0.0313996160640343,1,30.5205319995751,34.5216932709158
1,0.753284970697284,1.36797985086574,1,0.00819275113527123,1,5.44820842583354,24.7012949051987
0,0.755426806613741,1.0572333565657,1,0.0477776601786454,0,42.7497496062434,3.90319279889008
1,0.337432304678228,1.08217711937763,1,0.0405869836801875,1,48.1886119785655,18.4417397391477
1,0.471843444250242,1.59600548290852,1,0.032507927231935,0,22.1733760434096,24.9330162255212
0,0.816062014770515,1.45710303250825,1,0.036318389309408,1,5.2412729498259,34.6868200830943
0,0.249130280694176,1.61123946452272,1,0.00536039884168879,1,18.315279951484,49.2406404256014
1,0.537152693556602,1.07356345758356,1,0.0593440763401523,1,14.23455261253,32.3960227689374
0,0.661484536921526,1.05679652708285,1,0.0196290835467687,0,21.1242622904753,16.7738737019425
0,0.275833845154657,1.42089429732196,1,0.073425647660455,0,24.1410185581624,14.923098515765
0,0.769738412638652,1.19432072047722,1,0.0916630548756862,1,30.5011971415199,16.6084876369443
